RECORDID,EXTERNALID
R24664495,842121
R24664496,842122
R24664497,842123
R24664498,842124
R24664499,842125
R24664500,842126
R24664501,842127
R24664502,842128
R24664503,842129
R24664504,842130
R24664505,842131
R24664506,842132
R24664507,842133
R24664508,842134
R24664509,842135
R24664510,842136
R24664511,842137
R24664512,842138
R24664513,842139
R24664514,842140
R24664515,842141
R24664516,842142
R24664517,842143
R24664518,842144
R24664519,842145
R24664520,842146
R24664521,842147
R24664522,842148
R24664523,842149
R24664524,842150
R24664525,842151
R24664526,842152
R24664527,842153
R24664528,842154
R24664529,842155
R24664530,842156
R24664531,842157
R24664532,842158
R24664533,842159
R24664534,842160
R24664535,842161
R24664536,842162
R24664537,842163
R24664538,842164
R24664539,842165
R24664540,842166
R24664541,842167
R24664542,842168
R24664543,842169
R24664544,842170
R24664545,842171
R24664546,842172
R24664547,842173
R24664548,842174
R24664549,842175
R24664550,842176
R24664551,842177
R24664552,842178
R24664553,842179
R24664554,842180
R24664555,842181
R24664556,842182
R24664557,842183
R24664558,842184
R24664559,842185
R24664560,842186
R24664561,842187
R24664562,842188
R24664563,842189
R24664564,842190
R24664565,842191
R24664566,842192
R24664567,842193
R24664568,842194
R24664569,842195
R24664570,842196
R24664571,842197
R24664572,842198
R24664573,842199
R24664574,842200
R24664575,842201
R24664576,842202
R24664577,842203
R24664578,842204
R24664579,842205
R24664580,842206
R24664581,842207
R24664582,842208
R24664583,842209
R24664584,842210
R24664585,842211
R24664586,842212
R24664587,842213
R24664588,842214
R24664589,842215
R24664590,842216
R24664591,842217
R24664592,842218
R24664593,842219
R24664594,842220
R24664595,842221
R24664596,842222
R24664597,842223
R24664598,842224
R24664599,842225
R24664600,842226
R24664601,842227
R24664602,842228
R24664603,842229
R24664604,842230
R24664605,842231
R24664606,842232
R24664607,842233
R24664608,842234
R24664609,842235
R24664610,842236
R24664611,842237
R24664612,842238
R24664613,842239
R24664614,842240
R24664615,842241
R24664616,842242
R24664617,842243
R24664618,842244
R24664619,842245
R24664620,842246
R24664621,842247
R24664622,842248
R24664623,842249
R24664624,842250
R24664625,842251
R24664626,842252
R24664627,842253
R24664628,842254
R24664629,842255
R24664630,842256
R24664631,842257
R24664632,842258
R24664633,842259
R24664634,842260
R24664635,842261
R24664636,842262
R24664637,842263
R24664638,842264
R24664639,842265
R24664640,842266
R24664641,842267
R24664642,842268
R24664643,842269
R24664644,842270
R24664645,842271
R24664646,842272
R24664647,842273
R24664648,842274
R24664649,842275
R24664650,842276
R24664651,842277
R24664652,842278
R24664653,842279
R24664654,842280
R24664655,842281
R24664656,842282
R24664657,842283
R24664658,842284
R24664659,842285
R24664660,842286
R24664661,842287
R24664662,842288
R24664663,842289
R24664664,842290
R24664665,842291
R24664666,842292
R24664667,842293
R24664668,842294
R24664669,842295
R24664670,842296
R24664671,842297
R24664672,842298
R24664673,842299
R24664674,842300
R24664675,842301
R24664676,842302
R24664677,842303
R24664678,842304
R24664679,842305
R24664680,842306
R24664681,842307
R24664682,842308
R24664683,842309
R24664684,842310
R24664685,842311
R24664686,842312
R24664687,842313
R24664688,842314
R24664689,842315
R24664690,842316
R24664691,842317
R24664692,842318
R24664693,842319
R24664694,842320
R24664695,842321
R24664696,842322
R24664697,842323
R24664698,842324
R24664699,842325
R24664700,842326
R24664701,842327
R24664702,842328
R24664703,842329
R24664704,842330
R24664705,842331
R24664706,842332
R24664707,842333
R24664708,842334
R24664709,842335
R24664710,842336
R24664711,842337
R24664712,842338
R24664713,842339
R24664714,842340
R24664715,842341
R24664716,842342
R24664717,842343
R24664718,842344
R24664719,842345
R24664720,842346
R24664721,842347
R24664722,842348
R24664723,842349
R24664724,842350
R24664725,842351
R24664726,842352
R24664727,842353
R24664728,842354
R24664729,842355
R24664730,842356
R24664731,842357
R24664732,842358
R24664733,842359
R24664734,842360
R24664735,842361
R24664736,842362
R24664737,842363
R24664738,842364
R24664739,842365
R24664740,842366
R24664741,842367
R24664742,842368
R24664743,842369
R24664744,842370
R24664745,842371
R24664746,842372
R24664747,842373
R24664748,842374
R24664749,842375
R24664750,842376
R24664751,842377
R24664752,842378
R24664753,842379
R24664754,842380
R24664755,842381
R24664756,842382
R24664757,842383
R24664758,842384
R24664759,842385
R24664760,842386
R24664761,842387
R24664762,842388
R24664763,842389
R24664764,842390
R24664765,842391
R24664766,842392
R24664767,842393
R24664768,842394
R24664769,842395
R24664770,842396
R24664771,842397
R24664772,842398
R24664773,842399
R24664774,842400
R24664775,842401
R24664776,842402
R24664777,842403
R24664778,842404
R24664779,842405
R24664780,842406
R24664781,842407
R24664782,842408
R24664783,842409
R24664784,842410
R24664785,842411
R24664786,842412
R24664787,842413
R24664788,842414
R24664789,842415
R24664790,842416
R24664791,842417
R24664792,842418
R24664793,842419
R24664794,842420
R24664795,842421
R24664796,842422
R24664797,842423
R24664798,842424
R24664799,842425
R24664800,842426
R24664801,842427
R24664802,842428
R24664803,842429
R24664804,842430
R24664805,842431
R24664806,842432
R24664807,842433
R24664808,842434
R24664809,842435
R24664810,842436
R24664811,842437
R24664812,842438
R24664813,842439
R24664814,842440
R24664815,842441
R24664816,842442
R24664817,842443
R24664818,842444
R24664819,842445
R24664820,842446
R24664821,842447
R24664822,842448
R24664823,842449
R24664824,842450
R24664825,842451
R24664826,842452
R24664827,842453
R24664828,842454
R24664829,842455
R24664830,842456
R24664831,842457
R24664832,842458
R24664833,842459
R24664834,842460
R24664835,842461
R24664836,842462
R24664837,842463
R24664838,842464
R24664839,842465
R24664840,842466
R24664841,842467
R24664842,842468
R24664843,842469
R24664844,842470
R24664845,842471
R24664846,842472
R24664847,842473
R24664848,842474
R24664849,842475
R24664850,842476
R24664851,842477
R24664852,842478
R24664853,842479
R24664854,842480
R24664855,842481
R24664856,842482
R24664857,842483
R24664858,842484
R24664859,842485
R24664860,842486
R24664861,842487
R24664862,842488
R24664863,842489
R24664864,842490
R24664865,842491
R24664866,842492
R24664867,842493
R24664868,842494
R24664869,842495
R24664870,842496
R24664871,842497
R24664872,842498
R24664873,842499
R24664874,842500
R24664875,842501
R24664876,842502
R24664877,842503
R24664878,842504
R24664879,842505
R24664880,842506
R24664881,842507
R24664882,842508
R24664883,842509
R24664884,842510
R24664885,842511
R24664886,842512
R24664887,842513
R24664888,842514
R24664889,842515
R24664890,842516
R24664891,842517
R24664892,842518
R24664893,842519
R24664894,842520
R24664895,842521
R24664896,842522
R24664897,842523
R24664898,842524
R24664899,842525
R24664900,842526
R24664901,842527
R24664902,842528
R24664903,842529
R24664904,842530
R24664905,842531
R24664906,842532
R24664907,842533
R24664908,842534
R24664909,842535
R24664910,842536
R24664911,842537
R24664912,842538
R24664913,842539
R24664914,842540
R24664915,842541
R24664916,842542
R24664917,842543
R24664918,842544
R24664919,842545
R24664920,842546
R24664921,842547
R24664922,842548
R24664923,842549
R24664924,842550
R24664925,842551
R24664926,842552
R24664927,842553
R24664928,842554
R24664929,842555
R24664930,842556
R24664931,842557
R24664932,842558
R24664933,842559
R24664934,842560
R24664935,842561
R24664936,842562
R24664937,842563
R24664938,842564
R24664939,842565
R24664940,842566
R24664941,842567
R24664942,842568
R24664943,842569
R24664944,842570
R24664945,842571
R24664946,842572
R24664947,842573
R24664948,842574
R24664949,842575
R24664950,842576
R24664951,842577
R24664952,842578
R24664953,842579
R24664954,842580
R24664955,842581
R24664956,842582
R24664957,842583
R24664958,842584
R24664959,842585
R24664960,842586
R24664961,842587
R24664962,842588
R24664963,842589
R24664964,842590
R24664965,842591
R24664966,842592
R24664967,842593
R24664968,842594
R24664969,842595
R24664970,842596
R24664971,842597
R24664972,842598
R24664973,842599
R24664974,842600
R24664975,842601
R24664976,842602
R24664977,842603
R24664978,842604
R24664979,842605
R24664980,842606
R24664981,842607
R24664982,842608
R24664983,842609
R24664984,842610
R24664985,842611
R24664986,842612
R24664987,842613
R24664988,842614
R24664989,842615
R24664990,842616
R24664991,842617
R24664992,842618
R24664993,842619
